,Hit Type,Pitch Type,Pitch Speed,Good
0,Strike,Slider,84.0,True
1,Strike,Curveball,79.0,True
2,Strike,Curveball,78.0,True
3,Light Ground Ball,Sinker,94.0,True
4,Strike,Curveball,79.0,True
5,Hard Hit Ground Ball,Changeup,86.0,False
6,Strike,Sinker,93.0,True
7,Strike,FourSeamFastball,93.0,True
8,Strike,Curveball,79.0,True
9,Strike,Sinker,95.0,True
10,Hard Hit Ground Ball,Sinker,90.0,False
11,Hard Hit Line Drive,Changeup,86.0,False
12,Strike,Sinker,93.0,True
13,Strike,Slider,81.0,True
14,Strike,Sinker,93.0,True
15,Strike,Sinker,92.0,True
16,Light Ground Ball,Changeup,84.0,True
17,Pop Up,Slider,80.0,True
18,Strike,Slider,81.0,True
19,Strike,Slider,86.0,True
20,Strike,Sinker,90.0,True
21,Strike,FourSeamFastball,92.0,True
22,Strike,Slider,79.0,True
23,Hard Hit Ground Ball,Slider,78.0,False
24,Strike,Curveball,78.0,True
25,Strike,Slider,83.0,True
26,Strike,Slider,83.0,True
27,Light Line Drive,FourSeamFastball,90.0,True
28,Hard Hit Ground Ball,FourSeamFastball,93.0,False
29,Strike,Sinker,96.0,True
30,Strike,Curveball,78.0,True
31,Strike,Changeup,86.0,True
32,Fly Ball,Sinker,95.0,False
33,Strike,Slider,71.0,True
34,Light Line Drive,FourSeamFastball,95.0,True
35,Strike,Cutter,92.0,True
36,Pop Up,Sinker,90.0,True
37,Hard Hit Ground Ball,Cutter,87.0,False
38,Strike,FourSeamFastball,90.0,True
39,Strike,Slider,83.0,True
40,Strike,Slider,86.0,True
41,Light Line Drive,Cutter,90.0,True
42,Strike,Cutter,88.0,True
43,Strike,Sinker,94.0,True
44,Pop Up,Slider,82.0,True
45,Strike,Sinker,91.0,True
46,Strike,Slider,85.0,True
47,Hard Hit Ground Ball,Sinker,94.0,False
48,Strike,FourSeamFastball,93.0,True
49,Strike,Sinker,95.0,True
50,Strike,Curveball,77.0,True
51,Strike,Curveball,78.0,True
52,Hard Hit Line Drive,Sinker,92.0,False
53,Strike,Slider,85.0,True
54,Strike,Sinker,89.0,True
55,Strike,Cutter,87.0,True
56,Light Line Drive,FourSeamFastball,93.0,True
57,Pop Up,Changeup,83.0,True
58,Strike,Curveball,77.0,True
59,Strike,FourSeamFastball,91.0,True
60,Fly Ball,Slider,86.0,False
61,Light Line Drive,Slider,71.0,True
62,Power,Slider,80.0,False
63,Strike,Sinker,95.0,True
64,Light Ground Ball,Changeup,85.0,True
65,Strike,FourSeamFastball,97.0,True
66,Light Ground Ball,Sinker,91.0,True
67,Hard Hit Ground Ball,Sinker,91.0,False
68,Strike,Slider,86.0,True
69,Fly Ball,Slider,79.0,False
70,Hard Hit Ground Ball,Sinker,95.0,False
71,Strike,Slider,84.0,True
72,Hard Hit Ground Ball,Curveball,78.0,False
73,Fly Ball,Changeup,84.0,False
74,Strike,Changeup,85.0,True
75,Hard Hit Ground Ball,FourSeamFastball,92.0,False
76,Fly Ball,FourSeamFastball,90.0,False
77,Fly Ball,FourSeamFastball,97.0,False
78,Strike,Sinker,90.0,True
79,Strike,Slider,84.0,True
80,Strike,Slider,85.0,True
81,Light Ground Ball,Curveball,79.0,True
82,Strike,Sinker,91.0,True
83,Light Ground Ball,Sinker,92.0,True
84,Strike,Curveball,78.0,True
85,Strike,Changeup,86.0,True
86,Light Ground Ball,Slider,85.0,True
87,Hard Hit Ground Ball,Slider,84.0,False
88,Light Line Drive,Curveball,78.0,True
89,Power,Sinker,91.0,False
90,Strike,FourSeamFastball,92.0,True
91,Strike,Slider,80.0,True
92,Light Ground Ball,Changeup,86.0,True
93,Hard Hit Line Drive,FourSeamFastball,92.0,False
94,Strike,Sinker,89.0,True
95,Strike,Sinker,93.0,True
96,Hard Hit Ground Ball,FourSeamFastball,96.0,False
97,Fly Ball,Sinker,91.0,False
