,Hit Type,Pitch Type,Pitch Speed
0,Light Ground Ball,Sinker,94.0
1,Hard Hit Ground Ball,Changeup,86.0
2,Hard Hit Ground Ball,Sinker,90.0
3,Hard Hit Line Drive,Changeup,86.0
4,Light Ground Ball,Changeup,84.0
5,Pop Up,Slider,80.0
6,Hard Hit Ground Ball,Slider,78.0
7,Light Line Drive,FourSeamFastball,90.0
8,Hard Hit Ground Ball,FourSeamFastball,93.0
9,Fly Ball,Sinker,95.0
10,Light Line Drive,FourSeamFastball,95.0
11,Pop Up,Sinker,90.0
12,Hard Hit Ground Ball,Cutter,87.0
13,Light Line Drive,Cutter,90.0
14,Pop Up,Slider,82.0
15,Hard Hit Ground Ball,Sinker,94.0
16,Hard Hit Line Drive,Sinker,92.0
17,Light Line Drive,FourSeamFastball,93.0
18,Pop Up,Changeup,83.0
19,Fly Ball,Slider,86.0
20,Light Line Drive,Slider,71.0
21,Power,Slider,80.0
22,Light Ground Ball,Changeup,85.0
23,Light Ground Ball,Sinker,91.0
24,Hard Hit Ground Ball,Sinker,91.0
25,Fly Ball,Slider,79.0
26,Hard Hit Ground Ball,Sinker,95.0
27,Hard Hit Ground Ball,Curveball,78.0
28,Fly Ball,Changeup,84.0
29,Hard Hit Ground Ball,FourSeamFastball,92.0
30,Fly Ball,FourSeamFastball,90.0
31,Fly Ball,FourSeamFastball,97.0
32,Light Ground Ball,Curveball,79.0
33,Light Ground Ball,Sinker,92.0
34,Light Ground Ball,Slider,85.0
35,Hard Hit Ground Ball,Slider,84.0
36,Light Line Drive,Curveball,78.0
37,Power,Sinker,91.0
38,Light Ground Ball,Changeup,86.0
39,Hard Hit Line Drive,FourSeamFastball,92.0
40,Hard Hit Ground Ball,FourSeamFastball,96.0
41,Fly Ball,Sinker,91.0
42,Light Ground Ball,FourSeamFastball,91.0
43,Light Line Drive,Sinker,92.0
